,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_added,month_name_added,year_added,listed_in_1,listed_in_2,listed_in_3,duration_seasons
1158,TV Show,Big Time Rush,Data not available,"Kendall Schmidt, James Maslow, Carlos Pena, Logan Henderson, Ciara Bravo, Stephen Kramer Glickman, Tanya Chisholm, Challen Cates, Erin Sanders, Matt Riedy",United States,2021-03-26,2013,TV-G,4 Seasons,Kids' TV,"After a talent agent discovers four talented pals and turns them into a boy band called Big Time Rush, they must adjust to their exciting new lives.",3,March,2021,Kids' TV,0,0,4
1163,TV Show,Magic for Humans Spain,Data not available,Antonio Díaz,Spain,2021-03-26,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows","In this Spanish adaptation of ""Magic for Humans,"" folks of all ages on the streets of Barcelona are amazed by tricks that inspire delight and wonder.",3,March,2021,International TV Shows, Reality TV, Spanish-Language TV Shows,1
1166,TV Show,The Irregulars,Data not available,"Mckell David, Thaddea Graham, Jojo Macari, Harrison Osterfield, Darci Shaw, Clarke Peters, Royce Pierreson, Henry Lloyd-Hughes",United Kingdom,2021-03-26,2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","A crew of misfits investigates a series of supernatural crimes in Victorian London for Dr. Watson and his shadowy associate, Sherlock Holmes.",3,March,2021,British TV Shows, Crime TV Shows, International TV Shows,1
1168,TV Show,DOTA: Dragon's Blood,Data not available,"Yuri Lowenthal, Lara Pulver, Kari Wahlgren, Alix Wilton Regan, Troy Baker, Freya Tingley, Tony Todd",United States,2021-03-25,2021,TV-MA,1 Season,Anime Series,A conflicted yet courageous Dragon Knight must use the power of the dragon within to stop a deadly demon in this epic fantasy based on the online game.,3,March,2021,Anime Series,0,0,1
1169,TV Show,Pui Pui Molcar,Data not available,Data not available,Japan,2021-03-25,2021,TV-Y7,1 Season,Kids' TV,They’re guinea pigs! And they’re cars! The fuzzy and adorable molcars have lots of fun adventures in this delightful stop-motion animation.,3,March,2021,Kids' TV,0,0,1
1173,TV Show,Men on a Mission,Jung-ah Im,"Ho-dong Kang, Soo-geun Lee, Sang-min Lee, Young-chul Kim, Jang-hoon Seo, Hee-chul Kim, Kyung-hoon Min",South Korea,2021-03-23,2021,TV-14,6 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",3,March,2021,International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows,6
1174,TV Show,Navillera,Data not available,"Park In-hwan, Song Kang, Na Moon-hee, Hong Seung-hee, Cho Seong-ha, Kim Tae-hun, Cheong Hae-kyun, Kim Soo-jin, Jo Bok-rae, Kim Kwon",South Korea,2021-03-23,2021,TV-14,1 Season,"International TV Shows, TV Dramas",A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,3,March,2021,International TV Shows, TV Dramas,0,1
1179,TV Show,Mighty Morphin Power Rangers,Data not available,"Austin St. John, Thuy Trang, Walter Jones, Amy Jo Johnson, David Yost, Jason David Frank, Johnny Yong Bosch, Karan Ashley, Steve Cardenas, Catherine Sutherland, Paul Schrier, Jason Narvy, David Fielding, Richard Steven Horvitz, Barbara Goodson","United States, Japan",2021-03-20,2010,TV-Y7,4 Seasons,Kids' TV,"Five average teens are chosen by an intergalactic wizard to become the Power Rangers, who must use their new powers to fight the evil Rita Repulsa.",3,March,2021,Kids' TV,0,0,4
1180,TV Show,Alien TV,Data not available,"Rob Tinkler, Julie Lemieux, John Cleland, Kyle Dooley, Rupert Degas",United States,2021-03-19,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies","Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies.",3,March,2021,Kids' TV, TV Comedies,0,2
1181,TV Show,Country Comfort,Data not available,"Katharine McPhee, Eddie Cibrian, Ricardo Hurtado, Jamie Martin Mann, Griffin McIntyre, Shiloh Verrico, Pyper Braun, Janet Varney, Eric Balfour",United States,2021-03-19,2021,TV-PG,1 Season,TV Comedies,"After hitting the skids in her career, an aspiring country singer finds new life as a nanny for a handsome widower and his five charming children.",3,March,2021,TV Comedies,0,0,1
1182,TV Show,Formula 1: Drive to Survive,Data not available,Data not available,United Kingdom,2021-03-19,2021,TV-MA,3 Seasons,Docuseries,"Drivers, managers and team owners live life in the fast lane – both on and off the track – during one cutthroat season of Formula 1 racing.",3,March,2021,Docuseries,0,0,3
1186,TV Show,B: The Beginning,Data not available,"Hiroaki Hirata, Yuki Kaji, Asami Seto, Hiroki Touchi, Minoru Inaba, Ami Koshimizu, Toshiyuki Toyonaga, Shintaro Tanaka, Atsushi Goto, Toshiyuki Morikawa, Kaito Ishikawa, Satomi Sato, Yu Kitada, Mitsuki Saiga, Kazuya Nakai, Nozomi Kameda, Makoto Awane",Japan,2021-03-18,2021,TV-MA,2 Seasons,"Anime Series, Crime TV Shows, International TV Shows","Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target.",3,March,2021,Anime Series, Crime TV Shows, International TV Shows,2
